Nazwa urzadzenia,Cena (zł),Ocena,Liczba ocen,Czy dostepny,Typ urzadzenia,Sklep,Data
LG UltraFine 27UN880P-B Ergo 4K,1358.00,5.0,14,1,Monitor,x-kom,2024-10-22
iiyama G-Master GB2470HSU-B5 Red Eagle,749.00,4.8,129,1,Monitor,x-kom,2024-10-22
iiyama G-Master GB2770QSU-B5 Red Eagle,1199.00,4.8,43,1,Monitor,x-kom,2024-10-22
Samsung Odyssey S27AG300NRX,869.00,4.7,390,0,Monitor,x-kom,2024-10-22
ASUS VY279HGE,749.00,5.0,3,1,Monitor,x-kom,2024-10-22
Xiaomi A27i,449.00,4.7,43,1,Monitor,x-kom,2024-10-22
LG UltraGear 27GS85Q-B,1399.00,5.0,1,1,Monitor,x-kom,2024-10-22
Samsung Galaxy Buds3 srebrne,599.00,4.1,8,1,Słuchawki (douszne),x-kom,2024-10-23
Apple AirPods 3. generacji (Lightning),809.00,4.8,67,1,Słuchawki (douszne),x-kom,2024-10-23
Apple Airpods Pro 2. generacji (USB-C),1099.00,4.9,1190,1,Słuchawki (dokanałowe),x-kom,2024-10-23
Apple AirPods 2. generacji,499.00,4.8,475,1,Słuchawki (douszne),x-kom,2024-10-23
JBL Tune 770NC Czarne,279.00,4.8,84,1,Słuchawki (nauszne),x-kom,2024-10-23
JBL Tune 520BT Czarny,149.00,4.8,115,1,Słuchawki (nauszne),x-kom,2024-10-23
Technics EAH-A800 Czarne,1099.00,4.7,6,0,Słuchawki (nauszne),x-kom,2024-10-23
soundcore Liberty 4 NC czarne,399.00,4.7,300,1,Słuchawki (dokanałowe),x-kom,2024-10-23
Sony WH-CH720N Czarne,322.00,4.6,110,1,Słuchawki (nauszne),x-kom,2024-10-23
Apple AirPods 4. generacji,649.00,4.9,9,1,Słuchawki (douszne),x-kom,2024-10-23
Apple AirPods 4. generacji z aktywną redukcją hałasu,899.00,4.7,26,1,Słuchawki (douszne),x-kom,2024-10-23
Samsung Galaxy Tab A9 X110 WiFi 8/128GB szary,799.00,4.7,34,1,Tablet,x-kom,2024-10-23
"Huawei MatePad 11.5"" S WiFi 8/256GB Space Grey+M-Pencil+ klawiatura",2199.00,5.0,4,1,Tablet,x-kom,2024-10-23
"Apple iPad 10.2"" 9gen 64GB Wi-Fi Space Gray",1599.00,4.9,369,1,Tablet,x-kom,2024-10-23
Lenovo Tab P11 6GB/128GB/Android 12L/WiFi Gen. 2,999.00,4.9,33,1,Tablet,x-kom,2024-10-23
Lenovo Yoga Tab 13 8GB/128GB/Android 11/WiFi,1499.00,5.0,3,1,Tablet,x-kom,2024-10-23
Xiaomi Redmi Pad Pro 8GB/256GB Graphite Gray,1399.00,4.9,16,0,Tablet,x-kom,2024-10-23
Samsung Galaxy Tab A9+ X210 WiFi 8/128GB szary,1199.00,4.8,58,1,Tablet,x-kom,2024-10-23
LG UltraFine 27UN880P-B Ergo 4K,1358.00,5.0,15,1,Monitor,x-kom,2024-10-23
iiyama G-Master GB2470HSU-B5 Red Eagle,749.00,4.8,129,1,Monitor,x-kom,2024-10-23
iiyama G-Master GB2770QSU-B5 Red Eagle,1199.00,4.8,44,1,Monitor,x-kom,2024-10-23
Samsung Odyssey S27AG300NRX,869.00,4.7,390,0,Monitor,x-kom,2024-10-23
ASUS VY279HGE,749.00,5.0,3,1,Monitor,x-kom,2024-10-23
Xiaomi A27i,449.00,4.7,43,1,Monitor,x-kom,2024-10-23
LG UltraGear 27GS85Q-B,1399.00,5.0,1,1,Monitor,x-kom,2024-10-23
Samsung Galaxy Buds3 srebrne,599.00,4.1,8,1,Słuchawki (douszne),x-kom,2024-10-24
Apple AirPods 3. generacji (Lightning),809.00,4.8,67,1,Słuchawki (douszne),x-kom,2024-10-24
Apple Airpods Pro 2. generacji (USB-C),1099.00,4.9,1192,1,Słuchawki (dokanałowe),x-kom,2024-10-24
Apple AirPods 2. generacji,499.00,4.8,477,1,Słuchawki (douszne),x-kom,2024-10-24
JBL Tune 770NC Czarne,279.00,4.8,86,1,Słuchawki (nauszne),x-kom,2024-10-24
JBL Tune 520BT Czarny,149.00,4.8,116,1,Słuchawki (nauszne),x-kom,2024-10-24
Technics EAH-A800 Czarne,1099.00,4.7,6,0,Słuchawki (nauszne),x-kom,2024-10-24
soundcore Liberty 4 NC czarne,296.51,4.7,302,1,Słuchawki (dokanałowe),x-kom,2024-10-24
Sony WH-CH720N Czarne,322.00,4.6,110,1,Słuchawki (nauszne),x-kom,2024-10-24
Apple AirPods 4. generacji,649.00,4.9,9,1,Słuchawki (douszne),x-kom,2024-10-24
Apple AirPods 4. generacji z aktywną redukcją hałasu,899.00,4.7,27,1,Słuchawki (douszne),x-kom,2024-10-24
Samsung Galaxy Tab A9 X110 WiFi 8/128GB szary,799.00,4.7,34,1,Tablet,x-kom,2024-10-24
"Huawei MatePad 11.5"" S WiFi 8/256GB Space Grey+M-Pencil+ klawiatura",2199.00,5.0,4,1,Tablet,x-kom,2024-10-24
"Apple iPad 10.2"" 9gen 64GB Wi-Fi Space Gray",1599.00,4.9,369,1,Tablet,x-kom,2024-10-24
Lenovo Tab P11 6GB/128GB/Android 12L/WiFi Gen. 2,999.00,4.9,33,1,Tablet,x-kom,2024-10-24
Lenovo Yoga Tab 13 8GB/128GB/Android 11/WiFi,1499.00,5.0,3,1,Tablet,x-kom,2024-10-24
Xiaomi Redmi Pad Pro 8GB/256GB Graphite Gray,1399.00,4.9,16,0,Tablet,x-kom,2024-10-24
Samsung Galaxy Tab A9+ X210 WiFi 8/128GB szary,1199.00,4.8,58,1,Tablet,x-kom,2024-10-24
LG UltraFine 27UN880P-B Ergo 4K,1358.00,5.0,15,1,Monitor,x-kom,2024-10-24
iiyama G-Master GB2470HSU-B5 Red Eagle,749.00,4.8,129,1,Monitor,x-kom,2024-10-24
iiyama G-Master GB2770QSU-B5 Red Eagle,1199.00,4.8,44,1,Monitor,x-kom,2024-10-24
Samsung Odyssey S27AG300NRX,869.00,4.7,390,0,Monitor,x-kom,2024-10-24
ASUS VY279HGE,749.00,5.0,3,1,Monitor,x-kom,2024-10-24
Xiaomi A27i,449.00,4.7,43,1,Monitor,x-kom,2024-10-24
LG UltraGear 27GS85Q-B,1399.00,5.0,1,1,Monitor,x-kom,2024-10-24
Samsung Galaxy Buds3 srebrne,499.00,4.1,8,1,Słuchawki (douszne),x-kom,2024-10-25
Apple AirPods 3. generacji (Lightning),809.00,4.8,67,1,Słuchawki (douszne),x-kom,2024-10-25
Apple Airpods Pro 2. generacji (USB-C),1099.00,4.9,1194,1,Słuchawki (dokanałowe),x-kom,2024-10-25
Apple AirPods 2. generacji,499.00,4.8,478,1,Słuchawki (douszne),x-kom,2024-10-25
JBL Tune 770NC Czarne,279.00,4.8,87,1,Słuchawki (nauszne),x-kom,2024-10-25
JBL Tune 520BT Czarny,149.00,4.8,117,1,Słuchawki (nauszne),x-kom,2024-10-25
Technics EAH-A800 Czarne,,4.7,6,1,Słuchawki (nauszne),x-kom,2024-10-25
soundcore Liberty 4 NC czarne,296.51,4.7,303,1,Słuchawki (dokanałowe),x-kom,2024-10-25
Sony WH-CH720N Czarne,322.00,4.6,110,1,Słuchawki (nauszne),x-kom,2024-10-25
Apple AirPods 4. generacji,649.00,4.9,10,1,Słuchawki (douszne),x-kom,2024-10-25
Apple AirPods 4. generacji z aktywną redukcją hałasu,899.00,4.7,27,1,Słuchawki (douszne),x-kom,2024-10-25
Samsung Galaxy Tab A9 X110 WiFi 8/128GB szary,799.00,4.7,34,1,Tablet,x-kom,2024-10-25
"Huawei MatePad 11.5"" S WiFi 8/256GB Space Grey+M-Pencil+ klawiatura",1999.00,5.0,4,1,Tablet,x-kom,2024-10-25
"Apple iPad 10.2"" 9gen 64GB Wi-Fi Space Gray",1599.00,4.9,369,1,Tablet,x-kom,2024-10-25
Lenovo Tab P11 6GB/128GB/Android 12L/WiFi Gen. 2,999.00,4.9,33,1,Tablet,x-kom,2024-10-25
Lenovo Yoga Tab 13 8GB/128GB/Android 11/WiFi,1499.00,5.0,3,1,Tablet,x-kom,2024-10-25
Xiaomi Redmi Pad Pro 8GB/256GB Graphite Gray,1399.00,4.9,17,1,Tablet,x-kom,2024-10-25
Samsung Galaxy Tab A9+ X210 WiFi 8/128GB szary,1199.00,4.8,58,1,Tablet,x-kom,2024-10-25
LG UltraFine 27UN880P-B Ergo 4K,1358.00,5.0,15,1,Monitor,x-kom,2024-10-25
iiyama G-Master GB2470HSU-B5 Red Eagle,749.00,4.8,129,1,Monitor,x-kom,2024-10-25
iiyama G-Master GB2770QSU-B5 Red Eagle,1199.00,4.8,44,1,Monitor,x-kom,2024-10-25
Samsung Odyssey S27AG300NRX,869.00,4.7,391,1,Monitor,x-kom,2024-10-25
ASUS VY279HGE,749.00,5.0,3,1,Monitor,x-kom,2024-10-25
Xiaomi A27i,449.00,4.7,43,1,Monitor,x-kom,2024-10-25
LG UltraGear 27GS85Q-B,1399.00,5.0,1,1,Monitor,x-kom,2024-10-25
Samsung Galaxy Buds3 srebrne,499.00,4.1,8,1,Słuchawki (douszne),x-kom,2024-10-26
Apple AirPods 3. generacji (Lightning),809.00,4.8,67,1,Słuchawki (douszne),x-kom,2024-10-26
Apple Airpods Pro 2. generacji (USB-C),1099.00,4.9,1195,1,Słuchawki (dokanałowe),x-kom,2024-10-26
Apple AirPods 2. generacji,499.00,4.8,479,1,Słuchawki (douszne),x-kom,2024-10-26
JBL Tune 770NC Czarne,279.00,4.8,87,1,Słuchawki (nauszne),x-kom,2024-10-26
JBL Tune 520BT Czarny,149.00,4.8,117,1,Słuchawki (nauszne),x-kom,2024-10-26
Technics EAH-A800 Czarne,,4.7,6,1,Słuchawki (nauszne),x-kom,2024-10-26
soundcore Liberty 4 NC czarne,296.51,4.7,305,1,Słuchawki (dokanałowe),x-kom,2024-10-26
Sony WH-CH720N Czarne,322.00,4.6,110,1,Słuchawki (nauszne),x-kom,2024-10-26
Apple AirPods 4. generacji,649.00,4.9,11,1,Słuchawki (douszne),x-kom,2024-10-26
Apple AirPods 4. generacji z aktywną redukcją hałasu,899.00,4.7,27,1,Słuchawki (douszne),x-kom,2024-10-26
Samsung Galaxy Tab A9 X110 WiFi 8/128GB szary,799.00,4.7,34,1,Tablet,x-kom,2024-10-26
"Huawei MatePad 11.5"" S WiFi 8/256GB Space Grey+M-Pencil+ klawiatura",1999.00,5.0,4,1,Tablet,x-kom,2024-10-26
"Apple iPad 10.2"" 9gen 64GB Wi-Fi Space Gray",1599.00,4.9,369,1,Tablet,x-kom,2024-10-26
Lenovo Tab P11 6GB/128GB/Android 12L/WiFi Gen. 2,999.00,4.9,33,1,Tablet,x-kom,2024-10-26
Lenovo Yoga Tab 13 8GB/128GB/Android 11/WiFi,1499.00,5.0,3,1,Tablet,x-kom,2024-10-26
Xiaomi Redmi Pad Pro 8GB/256GB Graphite Gray,1399.00,4.9,17,1,Tablet,x-kom,2024-10-26
Samsung Galaxy Tab A9+ X210 WiFi 8/128GB szary,1199.00,4.8,58,1,Tablet,x-kom,2024-10-26
LG UltraFine 27UN880P-B Ergo 4K,1358.00,5.0,15,1,Monitor,x-kom,2024-10-26
iiyama G-Master GB2470HSU-B5 Red Eagle,749.00,4.8,129,1,Monitor,x-kom,2024-10-26
iiyama G-Master GB2770QSU-B5 Red Eagle,1199.00,4.8,44,1,Monitor,x-kom,2024-10-26
Samsung Odyssey S27AG300NRX,869.00,4.7,391,1,Monitor,x-kom,2024-10-26
ASUS VY279HGE,749.00,5.0,3,1,Monitor,x-kom,2024-10-26
Xiaomi A27i,449.00,4.7,43,1,Monitor,x-kom,2024-10-26
LG UltraGear 27GS85Q-B,1399.00,5.0,1,1,Monitor,x-kom,2024-10-26
Samsung Galaxy Buds3 srebrne,499.00,4.1,8,1,Słuchawki (douszne),x-kom,2024-10-27
Apple AirPods 3. generacji (Lightning),809.00,4.8,67,1,Słuchawki (douszne),x-kom,2024-10-27
Apple Airpods Pro 2. generacji (USB-C),1099.00,4.9,1197,1,Słuchawki (dokanałowe),x-kom,2024-10-27
Apple AirPods 2. generacji,499.00,4.8,480,1,Słuchawki (douszne),x-kom,2024-10-27
JBL Tune 770NC Czarne,279.00,4.8,87,1,Słuchawki (nauszne),x-kom,2024-10-27
JBL Tune 520BT Czarny,149.00,4.8,117,1,Słuchawki (nauszne),x-kom,2024-10-27
Technics EAH-A800 Czarne,,4.7,6,1,Słuchawki (nauszne),x-kom,2024-10-27
soundcore Liberty 4 NC czarne,296.51,4.7,305,1,Słuchawki (dokanałowe),x-kom,2024-10-27
Sony WH-CH720N Czarne,322.00,4.6,110,1,Słuchawki (nauszne),x-kom,2024-10-27
Apple AirPods 4. generacji,649.00,4.9,11,1,Słuchawki (douszne),x-kom,2024-10-27
Apple AirPods 4. generacji z aktywną redukcją hałasu,899.00,4.7,27,1,Słuchawki (douszne),x-kom,2024-10-27
Samsung Galaxy Tab A9 X110 WiFi 8/128GB szary,799.00,4.7,34,1,Tablet,x-kom,2024-10-27
"Huawei MatePad 11.5"" S WiFi 8/256GB Space Grey+M-Pencil+ klawiatura",1999.00,5.0,5,1,Tablet,x-kom,2024-10-27
"Apple iPad 10.2"" 9gen 64GB Wi-Fi Space Gray",1599.00,4.9,369,1,Tablet,x-kom,2024-10-27
Lenovo Tab P11 6GB/128GB/Android 12L/WiFi Gen. 2,999.00,4.9,33,1,Tablet,x-kom,2024-10-27
Lenovo Yoga Tab 13 8GB/128GB/Android 11/WiFi,1499.00,5.0,3,1,Tablet,x-kom,2024-10-27
Xiaomi Redmi Pad Pro 8GB/256GB Graphite Gray,1399.00,4.9,17,1,Tablet,x-kom,2024-10-27
Samsung Galaxy Tab A9+ X210 WiFi 8/128GB szary,1199.00,4.8,58,1,Tablet,x-kom,2024-10-27
LG UltraFine 27UN880P-B Ergo 4K,1358.00,5.0,15,1,Monitor,x-kom,2024-10-27
iiyama G-Master GB2470HSU-B5 Red Eagle,749.00,4.8,129,1,Monitor,x-kom,2024-10-27
iiyama G-Master GB2770QSU-B5 Red Eagle,1199.00,4.8,44,1,Monitor,x-kom,2024-10-27
Samsung Odyssey S27AG300NRX,869.00,4.7,391,1,Monitor,x-kom,2024-10-27
ASUS VY279HGE,749.00,5.0,3,1,Monitor,x-kom,2024-10-27
Xiaomi A27i,449.00,4.7,43,1,Monitor,x-kom,2024-10-27
LG UltraGear 27GS85Q-B,1399.00,5.0,1,1,Monitor,x-kom,2024-10-27
Samsung Galaxy Buds3 srebrne,499.00,4.1,8,1,Słuchawki (douszne),x-kom,2024-10-28
Apple AirPods 3. generacji (Lightning),809.00,4.8,67,1,Słuchawki (douszne),x-kom,2024-10-28
Apple Airpods Pro 2. generacji (USB-C),1099.00,4.9,1198,1,Słuchawki (dokanałowe),x-kom,2024-10-28
Apple AirPods 2. generacji,499.00,4.8,481,1,Słuchawki (douszne),x-kom,2024-10-28
JBL Tune 770NC Czarne,279.00,4.8,87,1,Słuchawki (nauszne),x-kom,2024-10-28
JBL Tune 520BT Czarny,149.00,4.8,118,1,Słuchawki (nauszne),x-kom,2024-10-28
Technics EAH-A800 Czarne,,4.7,6,1,Słuchawki (nauszne),x-kom,2024-10-28
soundcore Liberty 4 NC czarne,296.51,4.7,308,1,Słuchawki (dokanałowe),x-kom,2024-10-28
Sony WH-CH720N Czarne,322.00,4.6,111,1,Słuchawki (nauszne),x-kom,2024-10-28
Apple AirPods 4. generacji,649.00,4.9,11,1,Słuchawki (douszne),x-kom,2024-10-28
Apple AirPods 4. generacji z aktywną redukcją hałasu,899.00,4.7,28,1,Słuchawki (douszne),x-kom,2024-10-28
Samsung Galaxy Tab A9 X110 WiFi 8/128GB szary,799.00,4.7,34,1,Tablet,x-kom,2024-10-28
"Huawei MatePad 11.5"" S WiFi 8/256GB Space Grey+M-Pencil+ klawiatura",1999.00,5.0,5,1,Tablet,x-kom,2024-10-28
"Apple iPad 10.2"" 9gen 64GB Wi-Fi Space Gray",1599.00,4.9,369,1,Tablet,x-kom,2024-10-28
Lenovo Tab P11 6GB/128GB/Android 12L/WiFi Gen. 2,999.00,4.9,34,1,Tablet,x-kom,2024-10-28
Lenovo Yoga Tab 13 8GB/128GB/Android 11/WiFi,1499.00,5.0,3,1,Tablet,x-kom,2024-10-28
Xiaomi Redmi Pad Pro 8GB/256GB Graphite Gray,1399.00,4.9,17,1,Tablet,x-kom,2024-10-28
Samsung Galaxy Tab A9+ X210 WiFi 8/128GB szary,1199.00,4.8,58,1,Tablet,x-kom,2024-10-28
LG UltraFine 27UN880P-B Ergo 4K,1358.00,5.0,15,1,Monitor,x-kom,2024-10-28
iiyama G-Master GB2470HSU-B5 Red Eagle,749.00,4.8,129,1,Monitor,x-kom,2024-10-28
iiyama G-Master GB2770QSU-B5 Red Eagle,1199.00,4.8,44,1,Monitor,x-kom,2024-10-28
Samsung Odyssey S27AG300NRX,869.00,4.7,391,1,Monitor,x-kom,2024-10-28
ASUS VY279HGE,749.00,5.0,3,1,Monitor,x-kom,2024-10-28
Xiaomi A27i,449.00,4.7,43,1,Monitor,x-kom,2024-10-28
LG UltraGear 27GS85Q-B,1399.00,5.0,1,1,Monitor,x-kom,2024-10-28
Samsung Galaxy Buds3 srebrne,549.00,4.1,8,1,Słuchawki (douszne),x-kom,2024-10-29
Apple AirPods 3. generacji (Lightning),809.00,4.8,67,1,Słuchawki (douszne),x-kom,2024-10-29
Apple Airpods Pro 2. generacji (USB-C),1099.00,4.9,1199,1,Słuchawki (dokanałowe),x-kom,2024-10-29
Apple AirPods 2. generacji,499.00,4.8,482,1,Słuchawki (douszne),x-kom,2024-10-29
JBL Tune 770NC Czarne,279.00,4.8,89,1,Słuchawki (nauszne),x-kom,2024-10-29
JBL Tune 520BT Czarny,149.00,4.8,120,1,Słuchawki (nauszne),x-kom,2024-10-29
Technics EAH-A800 Czarne,,4.7,6,1,Słuchawki (nauszne),x-kom,2024-10-29
soundcore Liberty 4 NC czarne,296.51,4.7,308,1,Słuchawki (dokanałowe),x-kom,2024-10-29
Sony WH-CH720N Czarne,322.00,4.6,111,1,Słuchawki (nauszne),x-kom,2024-10-29
Apple AirPods 4. generacji,649.00,4.9,11,1,Słuchawki (douszne),x-kom,2024-10-29
Apple AirPods 4. generacji z aktywną redukcją hałasu,899.00,4.7,28,1,Słuchawki (douszne),x-kom,2024-10-29
Samsung Galaxy Tab A9 X110 WiFi 8/128GB szary,999.00,4.7,34,1,Tablet,x-kom,2024-10-29
"Huawei MatePad 11.5"" S WiFi 8/256GB Space Grey+M-Pencil+ klawiatura",1999.00,5.0,5,1,Tablet,x-kom,2024-10-29
"Apple iPad 10.2"" 9gen 64GB Wi-Fi Space Gray",1599.00,4.9,369,1,Tablet,x-kom,2024-10-29
Lenovo Tab P11 6GB/128GB/Android 12L/WiFi Gen. 2,999.00,4.9,34,1,Tablet,x-kom,2024-10-29
Lenovo Yoga Tab 13 8GB/128GB/Android 11/WiFi,1499.00,5.0,3,1,Tablet,x-kom,2024-10-29
Xiaomi Redmi Pad Pro 8GB/256GB Graphite Gray,1399.00,4.9,17,1,Tablet,x-kom,2024-10-29
Samsung Galaxy Tab A9+ X210 WiFi 8/128GB szary,1199.00,4.8,58,1,Tablet,x-kom,2024-10-29
LG UltraFine 27UN880P-B Ergo 4K,1358.00,5.0,15,1,Monitor,x-kom,2024-10-29
iiyama G-Master GB2470HSU-B5 Red Eagle,749.00,4.8,129,1,Monitor,x-kom,2024-10-29
iiyama G-Master GB2770QSU-B5 Red Eagle,1199.00,4.8,44,1,Monitor,x-kom,2024-10-29
Samsung Odyssey S27AG300NRX,869.00,4.7,391,1,Monitor,x-kom,2024-10-29
ASUS VY279HGE,749.00,5.0,3,1,Monitor,x-kom,2024-10-29
Xiaomi A27i,449.00,4.7,43,1,Monitor,x-kom,2024-10-29
LG UltraGear 27GS85Q-B,1399.00,5.0,1,1,Monitor,x-kom,2024-10-29
Samsung Galaxy Buds3 srebrne,549.00,4.1,8,1,Słuchawki (douszne),x-kom,2024-10-30
Apple AirPods 3. generacji (Lightning),809.00,4.8,67,1,Słuchawki (douszne),x-kom,2024-10-30
Apple Airpods Pro 2. generacji (USB-C),1099.00,4.9,1200,1,Słuchawki (dokanałowe),x-kom,2024-10-30
Apple AirPods 2. generacji,499.00,4.8,482,1,Słuchawki (douszne),x-kom,2024-10-30
JBL Tune 770NC Czarne,279.00,4.8,90,1,Słuchawki (nauszne),x-kom,2024-10-30
JBL Tune 520BT Czarny,149.00,4.8,121,1,Słuchawki (nauszne),x-kom,2024-10-30
Technics EAH-A800 Czarne,,4.7,6,1,Słuchawki (nauszne),x-kom,2024-10-30
soundcore Liberty 4 NC czarne,296.51,4.7,309,1,Słuchawki (dokanałowe),x-kom,2024-10-30
Sony WH-CH720N Czarne,322.00,4.6,111,1,Słuchawki (nauszne),x-kom,2024-10-30
Apple AirPods 4. generacji,649.00,4.9,12,1,Słuchawki (douszne),x-kom,2024-10-30
Apple AirPods 4. generacji z aktywną redukcją hałasu,899.00,4.7,28,1,Słuchawki (douszne),x-kom,2024-10-30
Samsung Galaxy Tab A9 X110 WiFi 8/128GB szary,999.00,4.7,34,1,Tablet,x-kom,2024-10-30
"Huawei MatePad 11.5"" S WiFi 8/256GB Space Grey+M-Pencil+ klawiatura",1999.00,5.0,5,1,Tablet,x-kom,2024-10-30
"Apple iPad 10.2"" 9gen 64GB Wi-Fi Space Gray",1599.00,4.9,369,1,Tablet,x-kom,2024-10-30
Lenovo Tab P11 6GB/128GB/Android 12L/WiFi Gen. 2,999.00,4.9,34,1,Tablet,x-kom,2024-10-30
Lenovo Yoga Tab 13 8GB/128GB/Android 11/WiFi,1499.00,5.0,3,1,Tablet,x-kom,2024-10-30
Xiaomi Redmi Pad Pro 8GB/256GB Graphite Gray,1399.00,4.9,17,1,Tablet,x-kom,2024-10-30
Samsung Galaxy Tab A9+ X210 WiFi 8/128GB szary,1199.00,4.8,58,1,Tablet,x-kom,2024-10-30
LG UltraFine 27UN880P-B Ergo 4K,1358.00,5.0,16,1,Monitor,x-kom,2024-10-30
iiyama G-Master GB2470HSU-B5 Red Eagle,749.00,4.8,130,1,Monitor,x-kom,2024-10-30
iiyama G-Master GB2770QSU-B5 Red Eagle,1199.00,4.8,44,1,Monitor,x-kom,2024-10-30
Samsung Odyssey S27AG300NRX,869.00,4.7,392,1,Monitor,x-kom,2024-10-30
ASUS VY279HGE,749.00,5.0,3,1,Monitor,x-kom,2024-10-30
Xiaomi A27i,449.00,4.7,43,1,Monitor,x-kom,2024-10-30
LG UltraGear 27GS85Q-B,1299.00,5.0,1,1,Monitor,x-kom,2024-10-30
Samsung Galaxy Buds3 srebrne,549.00,4.0,9,1,Słuchawki (douszne),x-kom,2024-10-31
Apple AirPods 3. generacji (Lightning),809.00,4.8,67,1,Słuchawki (douszne),x-kom,2024-10-31
Apple Airpods Pro 2. generacji (USB-C),1099.00,4.9,1202,1,Słuchawki (dokanałowe),x-kom,2024-10-31
Apple AirPods 2. generacji,499.00,4.8,483,1,Słuchawki (douszne),x-kom,2024-10-31
JBL Tune 770NC Czarne,279.00,4.8,92,1,Słuchawki (nauszne),x-kom,2024-10-31
JBL Tune 520BT Czarny,149.00,4.8,121,1,Słuchawki (nauszne),x-kom,2024-10-31
Technics EAH-A800 Czarne,,4.7,6,1,Słuchawki (nauszne),x-kom,2024-10-31
soundcore Liberty 4 NC czarne,296.51,4.7,310,1,Słuchawki (dokanałowe),x-kom,2024-10-31
Sony WH-CH720N Czarne,322.00,4.6,112,1,Słuchawki (nauszne),x-kom,2024-10-31
Apple AirPods 4. generacji,649.00,4.9,12,1,Słuchawki (douszne),x-kom,2024-10-31
Apple AirPods 4. generacji z aktywną redukcją hałasu,899.00,4.7,29,1,Słuchawki (douszne),x-kom,2024-10-31
Samsung Galaxy Tab A9 X110 WiFi 8/128GB szary,999.00,4.7,34,1,Tablet,x-kom,2024-10-31
"Huawei MatePad 11.5"" S WiFi 8/256GB Space Grey+M-Pencil+ klawiatura",1999.00,5.0,5,1,Tablet,x-kom,2024-10-31
"Apple iPad 10.2"" 9gen 64GB Wi-Fi Space Gray",1599.00,4.9,369,1,Tablet,x-kom,2024-10-31
Lenovo Tab P11 6GB/128GB/Android 12L/WiFi Gen. 2,999.00,4.9,34,1,Tablet,x-kom,2024-10-31
Lenovo Yoga Tab 13 8GB/128GB/Android 11/WiFi,1499.00,5.0,3,1,Tablet,x-kom,2024-10-31
Xiaomi Redmi Pad Pro 8GB/256GB Graphite Gray,1399.00,4.9,17,1,Tablet,x-kom,2024-10-31
Samsung Galaxy Tab A9+ X210 WiFi 8/128GB szary,1199.00,4.8,58,1,Tablet,x-kom,2024-10-31
LG UltraFine 27UN880P-B Ergo 4K,1358.00,5.0,17,1,Monitor,x-kom,2024-10-31
iiyama G-Master GB2470HSU-B5 Red Eagle,749.00,4.8,130,1,Monitor,x-kom,2024-10-31
iiyama G-Master GB2770QSU-B5 Red Eagle,1199.00,4.8,44,1,Monitor,x-kom,2024-10-31
Samsung Odyssey S27AG300NRX,869.00,4.7,392,1,Monitor,x-kom,2024-10-31
ASUS VY279HGE,749.00,5.0,3,1,Monitor,x-kom,2024-10-31
Xiaomi A27i,449.00,4.7,43,1,Monitor,x-kom,2024-10-31
LG UltraGear 27GS85Q-B,1299.00,5.0,1,1,Monitor,x-kom,2024-10-31
Samsung Galaxy Buds3 srebrne,549.00,4.0,9,1,Słuchawki (douszne),x-kom,2024-11-01
Apple AirPods 3. generacji (Lightning),809.00,4.8,67,1,Słuchawki (douszne),x-kom,2024-11-01
Apple Airpods Pro 2. generacji (USB-C),1099.00,4.9,1204,1,Słuchawki (dokanałowe),x-kom,2024-11-01
Apple AirPods 2. generacji,499.00,4.8,483,1,Słuchawki (douszne),x-kom,2024-11-01
JBL Tune 770NC Czarne,269.99,4.8,92,1,Słuchawki (nauszne),x-kom,2024-11-01
JBL Tune 520BT Czarny,149.00,4.8,121,1,Słuchawki (nauszne),x-kom,2024-11-01
Technics EAH-A800 Czarne,,4.7,6,1,Słuchawki (nauszne),x-kom,2024-11-01
soundcore Liberty 4 NC czarne,296.51,4.7,311,1,Słuchawki (dokanałowe),x-kom,2024-11-01
Sony WH-CH720N Czarne,322.00,4.6,114,1,Słuchawki (nauszne),x-kom,2024-11-01
Apple AirPods 4. generacji,649.00,4.9,12,1,Słuchawki (douszne),x-kom,2024-11-01
Apple AirPods 4. generacji z aktywną redukcją hałasu,899.00,4.7,30,1,Słuchawki (douszne),x-kom,2024-11-01
Samsung Galaxy Tab A9 X110 WiFi 8/128GB szary,999.00,4.7,35,1,Tablet,x-kom,2024-11-01
"Huawei MatePad 11.5"" S WiFi 8/256GB Space Grey+M-Pencil+ klawiatura",1999.00,5.0,5,1,Tablet,x-kom,2024-11-01
"Apple iPad 10.2"" 9gen 64GB Wi-Fi Space Gray",1599.00,4.9,369,1,Tablet,x-kom,2024-11-01
Lenovo Tab P11 6GB/128GB/Android 12L/WiFi Gen. 2,999.00,4.9,34,1,Tablet,x-kom,2024-11-01
Lenovo Yoga Tab 13 8GB/128GB/Android 11/WiFi,1499.00,5.0,3,1,Tablet,x-kom,2024-11-01
Xiaomi Redmi Pad Pro 8GB/256GB Graphite Gray,1399.00,4.9,17,1,Tablet,x-kom,2024-11-01
Samsung Galaxy Tab A9+ X210 WiFi 8/128GB szary,1199.00,4.8,58,1,Tablet,x-kom,2024-11-01
LG UltraFine 27UN880P-B Ergo 4K,1599.00,5.0,17,1,Monitor,x-kom,2024-11-01
iiyama G-Master GB2470HSU-B5 Red Eagle,749.00,4.8,131,1,Monitor,x-kom,2024-11-01
iiyama G-Master GB2770QSU-B5 Red Eagle,1199.00,4.8,44,1,Monitor,x-kom,2024-11-01
